Id,質問,Answer
18861,役員出張規程は別にあるの？,役員の出張旅費規程については、内規があります。詳しく知りたい場合には、THR海外出張旅費担当者までご連絡ください。
18862,海外出張申請ルートについて、承認者を変更したいがどうしたらよいか？,海外出張電子申請の承認者変更については、承認者の一つ前の人が変更可能です。例えば、承認者（GL）を変更したい場合は、提出者本人が変更、部長を変更したい場合は、承認者GLが変更可能です。
18863,海外出張申請していた出張期間が承認後変更になった場合、どうすればいいの？,海外出張期間が申請承認後に変更となった場合は、上長に報告のうえ、各拠店のTHRへ連絡（メール可）して下さい。
18864,長期海外出張で、日当のみ途中精算したいときの「帰国日」は？「レート」は？,"海外出張が1ヶ月以上の長期になる場合は、1ヵ月毎の精算が原則です。
電子申請は帰国するまで精算せず、SAP立替金精算にて処理して下さい。
摘要欄に「出張No.」と「途中精算」と記入いただき、
日当分の費用計算書を添付してください。

ｅｘ）3/1〜4/23の長期出張で、3月分を途中精算する場合
　　SAPに添付する計算書の帰国日は、3/31
　　そのレートは、3/31のレート（精算期間対象の最終日のレート）

"
18865,海外出張時に、黄熱病の予防接種を現地で受けた。外貨で支払ったが精算はどのようにしたらよいか？,海外出張の際に黄熱病の予防接種を受けた場合は、費用計算書に含めて精算して下さい。勘定科目は9197厚生費（海外）となり、費用計算書では（その他）を選択して下さい。
18866,海外出張精算で、勘定科目（その他）が2科目以上あり、電子申請できないがどうして？,海外出張費用計算書のその他欄については、1科目しかできません。その他欄の精算が2科目以上となる場合は、SAP立替金精算にて別途処理して下さい。
18867,海外出張精算について、「費用計算書」の東京の提出場所はどこですか？,"海外出張精算の東京の提出先は、16階中央専用トレーとなります。
なお、国内出張と海外出張の「領収書台紙」が類似しているため、持ち込まれる方が間違えないよう、海外出張精算は「費用計算書」を表紙にしてご提出下さい。




"
18868,"休暇で海外滞在する予定であるが、その滞在中に業務を行うことになった場合、その業務に従事した際の宿泊費や現地旅費は、海外出張旅費として精算可能か？
","休暇で海外滞在する場合で、その滞在中に業務を行うことになったときは、そもそも休暇中（海外旅行）の業務は、原則不可となります。
どうしても業務上必要な場合は、別途、THR名古屋労務G（名古屋3513）へご相談下さい。

"
18869,"前回の海外出張時の領収書を今回受け取りました。精算方法を教えてください。
","前回の海外出張時の未精算が発生した場合の精算方法は、以下の通りとなります。

1.料金の支払いが前回出張時であれば、SAPの立替金精算で精算します。
前回出張時の帰国日レートで、未精算分のみの費用計算書を作成し、領収書と一緒に提出してください。

2.料金の支払が今回出張時であれば、今回の費用計算書に含め、摘要欄にいつの出張の分かを明記してください。

"
18870,"海外出張時に、現地時間で日本出発日と同日にホテルに宿泊した場合は、機中泊はつきますか？
","海外出張時に、現地時間で日本出発日と同日にホテルに宿泊した場合は、機中泊はつかず、ホテル実費が精算対象となります。
なお、機中泊の考え方については、次のTTCライブラリーに掲載されておりますのでご参照ください。
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/T048036?OpenDocument
"
18871,領収書が財布ごと盗難され無くなってしまいました。クレジットカードの利用明細で海外出張精算の処理はできますか？,領収書が盗難により無くなった場合の海外出張精算については、クレジットカード会社からの請求書コピーの添付で対応させていただきますが、盗難によって領収書原本を提出できない旨を文書にし、あわせて提出してください。
18872,海外出張旅費精算が承認されていないものがありますが、いつ承認になりますか？,"海外出張旅費精算でまだ未承認のデータが残っている場合、THRに費用計算書が届いていない可能性があります。
上長印取り付けなどで貴部署内に滞留していないか、今一度ご確認下さいますよう宜しくお願い致します。
"
18873,海外出張精算で、自分以外の社員のホテルキャンセル料を立替えた場合の勘定科目は何になりますか？,海外出張精算で、自分以外の社員のホテルキャンセル料を立替えた場合の勘定科目は、9161海外出張旅費です。どなたの分か、費用計算書の摘要欄に明記してください。
18874,海外出張申請を提出するのを忘れていました。,"海外出張申請の提出を忘れた場合、出張目的欄に「事後申請」と入力して、至急出張届を提出してください。
次回より、必ず事前申請をお願いします。"
18875,海外出張期間が延長になった場合の報告は、メールでいいでしょうか？,"海外出張期間が延長になった場合には、メールにて各拠点のTHR担当までご連絡ください。THRで出張期間を変更しますが、出張申請時の滞在都市以外の場所に行かれる場合は、追加になった滞在都市もご報告ください。
なお、危険地域に該当する都市の場合には、THR名古屋労務Ｇ（名古屋3513）へご連絡ください。
"
18876,海外出張の帰国日が変更する場合、追加申請は必要でしょうか？,"海外出張の帰国日の変更があった場合は、THRにて変更いたしますのでメールにて各拠点のTHR担当までご連絡ください。
"
18877,海外出張でクレジットカードを利用して精算したが、レートが大幅に異なった場合の精算金額は？,"海外出張期間中のレート変化で、５％以上の相違が出た場合には、両替時等のエビデンス添付によって両替時等の特例レートを使用出来ます。（ただし、日当および機中泊時のレートを除く）

"
19305,海外出張担当者を教えて下さい。,"海外出張担当者については、
名古屋THR：菊地、東京THR：平野・村田　となります。

なお、規制地域については、名古屋THR労務厚生部労務グループ　となります。"
19306,国内出張担当者を教えて下さい。,"国内出張担当者については、
名古屋THR：青山・小川、東京THR：平野　となります。"
22091,TTSレートを三菱UFJリサーチ＆コンサルティングで確認する場合、どのシートを使うの？,海外出張時の帰国日レートは、TTSレートについて、三菱UFJリサーチ＆コンサルティングのシート名「本日の為替相場」または「1990年以降の為替相場」で確認して下さい。
22448,国内の日当について,"国内出張の日当については、次のTTCライブラリーをご参照ください。

https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/G007476?OpenDocument
"
22449,海外の日当について,"海外出張の日当については60ドルとなります。
なお、深夜便利用の場合や機中泊の場合の日当については、次のTTCライブラリーをご参照ください。

https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/T048036?OpenDocument


"
